x y
1.0 1745.3
2.0 3586.6
3.0 5542.3
4.0 7068.2
5.0 8929.4
6.0 10311.0
7.0 11853.0
8.0 13287.0
9.0 14831.0
10.0 16134.0
11.0 17769.0
12.0 19125.0
13.0 20822.0
14.0 22368.0
15.0 23696.0
16.0 25243.0
17.0 26671.0
18.0 27920.0
19.0 29295.0
20.0 30786.0
21.0 32411.0
22.0 33811.0
23.0 35415.0
24.0 36859.0
25.0 38459.0
26.0 39898.0
27.0 41108.0
28.0 42740.0
29.0 44467.0
30.0 45646.0
31.0 47014.0
32.0 48433.0
33.0 49414.0
34.0 50701.0
35.0 52276.0
36.0 53801.0
37.0 55218.0
38.0 56308.0
39.0 58316.0
40.0 59400.0
41.0 60754.0
42.0 62286.0
43.0 64132.0
44.0 64749.0
45.0 66748.0
46.0 68610.0
47.0 69706.0
48.0 70932.0
49.0 72197.0
50.0 74026.0
51.0 74969.0
52.0 77048.0
53.0 78427.0
54.0 80125.0
55.0 81325.0
56.0 82163.0
57.0 84290.0
58.0 85687.0
59.0 87023.0
60.0 88282.0
61.0 89935.0
62.0 91778.0
63.0 92987.0
64.0 93782.0
